id,headline_phrase,nutrient,topic,direction,evidence_grade,study_design,year,pmid,population,n,medication_interaction,claim,journal,citation,doi,url,open_access,source_quality_flag,review_status,contributor,date_added,notes
11,"Intravenous iron genuinely helps restless legs syndrome, but at ferritin thresholds far above any definition of deficiency.",iron,neuropsychiatric,supports,strong,guideline,2018,29425576,Adults with moderate to severe restless legs syndrome,,,"Task force review of 31 studies. Ferric carboxymaltose effective where ferritin is below 300, oral iron possibly effective at or below 75.",Sleep medicine,Allen RP et al. Evidence-based and consensus clinical practice guidelines for the iron treatment of restless legs syndrome/Willis-Ekbom disease in adults and children: an IRLSSG task force report. Sleep medicine. 2018;41:27-44.,,https://pubmed.ncbi.nlm.nih.gov/29425576/,,ok,verified,seed,2026-09-19,Do not read this as restless legs being caused by iron deficiency. The thresholds are far above deficiency. Several antidepressants and antipsychotics aggravate the condition.
12,"Iron repletion reduced fatigue in non-anemic women with low iron, and did nothing at all for depression or anxiety.",iron,neuropsychiatric,mixed,moderate,rct,2012,22777991,Non-anemic menstruating women with ferritin below 50,198,,"Fatigue fell significantly more on iron. No effect on depression (p = 0.97), anxiety (p = 0.5) or quality of life (p = 0.2), despite confirmed biochemical response.",CMAJ : Canadian Medical Association journal = journal de l'Association medicale canadienne,Vaucher P et al. Effect of iron supplementation on fatigue in nonanemic menstruating women with low ferritin: a randomized controlled trial. CMAJ : Canadian Medical Association journal = journal de l'Association medicale canadienne. 2012;184:1247-54.,,https://pubmed.ncbi.nlm.nih.gov/22777991/,,ok,verified,seed,2026-09-19,"Closed-label with observer blinding only, so participants knew their allocation. A subjective-only benefit in a partly unblinded trial is what expectancy produces."
13,"The apparent benefit of magnesium for mood collapses once a placebo is introduced, from 1.60 standard deviations to 0.21.",magnesium,neuropsychiatric,does-not-support,strong,systematic-review-meta-analysis,2018,29897029,Adults with mood disorders,22641,,"Uncontrolled trials give 1.60 standard deviations, placebo-controlled trials give 0.21. Blood magnesium in mood disorder patients was higher than controls. Prospective dietary association not significant.",BJPsych open,Phelan D et al. Magnesium and mood disorders: systematic review and meta-analysis. BJPsych open. 2018;4:167-179.,,https://pubmed.ncbi.nlm.nih.gov/29897029/,,ok,verified,seed,2026-09-19,Authors conclude there is little evidence for magnesium involvement in mood disorders. The design-dependence is the actual finding.
14,"Cochrane found a small effect of omega-3 on depression, called it unlikely to be clinically meaningful, and warned the estimate is probably biased toward a positive result.",omega-3,neuropsychiatric,mixed,weak,systematic-review-meta-analysis,2021,34817851,Adults with depression,1848,,"Standardized mean difference 0.40 across 33 studies, very low certainty. No effect on remission, response or quality of life. Funnel plot inspection suggests bias toward a positive finding.",The Cochrane database of systematic reviews,Appleton KM et al. Omega-3 fatty acids for depression in adults. The Cochrane database of systematic reviews. 2021;11:CD004692.,,https://pubmed.ncbi.nlm.nih.gov/34817851/,,ok,verified,seed,2026-09-19,An effect of this size is about 2.5 points on a depression scale where the minimum clinically important change is 3.0.
15,"In the largest trial, people given omega-3 had a slightly higher risk of depression than people given placebo.",omega-3,neuropsychiatric,does-not-support,strong,rct,2021,34932079,US adults aged 50 and over,18353,,"1 g daily fish oil versus placebo, median 5.3 years. Depression risk hazard ratio 1.13, statistically significant, in the direction of harm.",JAMA,Okereke OI et al. Effect of Long-term Supplementation With Marine Omega-3 Fatty Acids vs Placebo on Risk of Depression or Clinically Relevant Depressive Symptoms and on Change in Mood Scores: A Randomized Clinical Trial. JAMA. 2021;326:2385-2394.,,https://pubmed.ncbi.nlm.nih.gov/34932079/,,ok,verified,seed,2026-09-19,Authors conclude the findings do not support omega-3 to prevent depression. Ten times larger than the entire Cochrane placebo comparison.
16,"Proton pump inhibitors can cause severe magnesium depletion, proven by symptoms resolving within days of stopping and returning within days of restarting.",magnesium,drug-nutrient,supports,strong,systematic-review,2012,22762246,Adults on long-term proton pump inhibitors,,proton pump inhibitors,"Median onset 5.5 years of use, range 14 days to 13 years. Recovery a median 4 days after stopping, recurrence within 4 days on restarting. Switching to an H2 blocker prevented recurrence.",Alimentary pharmacology & therapeutics,Hess MW et al. Systematic review: hypomagnesaemia induced by proton pump inhibition. Alimentary pharmacology & therapeutics. 2012;36:405-13.,,https://pubmed.ncbi.nlm.nih.gov/22762246/,,ok,verified,seed,2026-09-19,Rare. Roughly 30 published cases against about 21 million annual US users. The rechallenge data is what makes it causal rather than associated.
17,"Metformin lowers vitamin B12 by about a fifth over four years, with one extra deficiency for every 14 people treated.",b12,drug-nutrient,supports,strong,rct,2010,20488910,Adults with type 2 diabetes,390,metformin,"Randomized, 4.3 years. B12 fell 19%. Absolute risk of B12 below 150 pmol/L 7.2 percentage points higher, number needed to harm 13.8.",BMJ (Clinical research ed.),de Jager J et al. Long term treatment with metformin in patients with type 2 diabetes and risk of vitamin B-12 deficiency: randomised placebo controlled trial. BMJ (Clinical research ed.). 2010;340:c2181.,,https://pubmed.ncbi.nlm.nih.gov/20488910/,,ok,verified,seed,2026-09-19,The best-established drug and nutrient pair here. Note that no study has tested whether this affects mood or cognition.
18,"Adding folic acid to antidepressants did not help, and the treated group scored slightly worse on mental health.",folate,neuropsychiatric,does-not-support,strong,rct,2014,25052890,"Adults with depression, folate-deficient people excluded",475,,"5 mg folic acid added to antidepressants, 12 weeks, followed to 25 weeks. Null on every outcome. Mental health score significantly reduced by 3.0%.","Health technology assessment (Winchester, England)","Bedson E et al. Folate Augmentation of Treatment--Evaluation for Depression (FolATED): randomised trial and economic evaluation. Health technology assessment (Winchester, England). 2014;18:vii-viii, 1-159.",,https://pubmed.ncbi.nlm.nih.gov/25052890/,,ok,verified,seed,2026-09-19,Authors state the finding undermines guidelines advocating folic acid for depression. The largest augmentation trial in this literature.
19,How common B12 deficiency looks depends almost entirely on which cutoff you pick: the same survey gives anywhere from 3% to 26%.,b12,prevalence,background,strong,survey-data,2011,21677051,"US adults aged 19 and over, NHANES 1999-2004",12612,,Commonly used serum cutoffs give 3% to 26%. Functional marker cutoffs give 2% to 6%. Requiring both abnormal gives about 1% with clear deficiency and 92% adequate.,The American journal of clinical nutrition,Bailey RL et al. Monitoring of vitamin B-12 nutritional status in the United States by using plasma methylmalonic acid and serum vitamin B-12. The American journal of clinical nutrition. 2011;94:552-61.,,https://pubmed.ncbi.nlm.nih.gov/21677051/,,ok,verified,seed,2026-09-19,Any single prevalence figure quoted without its cutoff is meaningless. This paper is the clearest demonstration of why.
20,"After gastric bypass, people using a vitamin patch had roughly twice the rate of deficiency of people taking pills.",multiple,absorption,does-not-support,weak,cross-sectional,2019,31302845,Patients one year after Roux-en-Y gastric bypass,44,,"82% of patch users had at least one deficiency at one year against 41% of pill users. Significantly lower vitamin D, B1 and B12 in the patch group.",Obesity surgery,Saurabh S et al. Is Transdermal Multivitamin Patch Effective in Gastric Bypass Patients?. Obesity surgery. 2019;29:3818-3823.,,https://pubmed.ncbi.nlm.nih.gov/31302845/,,ok,verified,seed,2026-09-19,"Retrospective chart review of self-selected patients at one hospital, not a trial. Direction is clear, design is weak."
21,"The only large randomized test of nutrients absorbed through the skin found essentially nothing, in 444 infants over a year.",multiple,absorption,does-not-support,strong,rct,2021,34493339,"Infants randomized at 4 to 7 weeks, followed to 12 months",444,,"Liposomal iron, vitamin D, folate and B12 in massage oil versus placebo oil. No hemoglobin benefit. Vitamin D difference 1.46 ng/mL, which the authors call marginal. No developmental difference.",BMC nutrition,Apte A et al. Efficacy of transdermal delivery of liposomal micronutrients through body oil massage on neurodevelopmental and micronutrient deficiency status in infants: results of a randomized placebo-controlled clinical trial. BMC nutrition. 2021;7:48.,,https://pubmed.ncbi.nlm.nih.gov/34493339/,,ok,verified,seed,2026-09-19,"The strongest single study of transdermal micronutrient delivery in humans, and it is largely null."
22,"Vitamin D deficiency peaks in adults aged 20 to 39, which is the opposite of what most people assume.",vitamin-d,prevalence,background,strong,survey-data,2019,31076739,"US population, NHANES 2011-2014",16180,,At risk of deficiency below 30 nmol/L: 5.0%. At risk of inadequacy 30 to 49 nmol/L: 18.3%. Deficiency peaks at 7.6% in those aged 20 to 39 and is 2.9% in those 60 and over.,The American journal of clinical nutrition,"Herrick KA et al. Vitamin D status in the United States, 2011-2014. The American journal of clinical nutrition. 2019;110:150-157.",,https://pubmed.ncbi.nlm.nih.gov/31076739/,,ok,verified,seed,2026-09-19,The age pattern matters because it overlaps the band where psychiatric prescribing is heaviest.
23,"Five out of six people with iron deficiency are not anemic, so screening on hemoglobin misses most of them.",iron,prevalence,background,strong,survey-data,2023,37367984,US females aged 12 to 21,,,"Among those with iron deficiency, 83.6% did not have anemia. Prevalence 17.0% at a ferritin cutoff of 15, 38.6% at 25, and 77.5% at 50.",JAMA,"Weyand AC et al. Prevalence of Iron Deficiency and Iron-Deficiency Anemia in US Females Aged 12-21 Years, 2003-2020. JAMA. 2023;329:2191-2193.",,https://pubmed.ncbi.nlm.nih.gov/37367984/,,ok,verified,seed,2026-09-19,The clearest demonstration that the cutoff decides the answer more than the population does.
24,A review of the field concludes that the promotion of transdermal magnesium is scientifically unsupported.,magnesium,absorption,does-not-support,,narrative-review,2017,28788060,Review of human studies,,,,Nutrients,Gröber U et al. Myth or Reality-Transdermal Magnesium?. Nutrients. 2017;9.,10.3390/nu9080813,https://pmc.ncbi.nlm.nih.gov/articles/PMC5579607/,yes,,unreviewed,Martin-Petkov-NF,2026-09-19,End-to-end test of the automatic intake.
